Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year-additional
2014,21,CHC,NL,52,229,213,25,36,6,0,9,20,5,1,15,95,0.169,0.227,0.324,0.551,52,69,5,1,0,0,0,64,,-9999
2015,22,CHC,NL,28,80,76,4,22,6,0,1,4,1,2,4,24,0.289,0.325,0.408,0.733,102,31,0,0,0,0,1,45/6H3,,-9999
2016,23,CHC,NL,142,450,421,50,115,19,1,14,59,12,3,15,108,0.273,0.314,0.423,0.737,94,178,8,11,1,2,3,546H/37,,-9999
2017,24,CHC,NL,145,508,469,75,128,24,2,23,75,10,3,30,144,0.273,0.317,0.48,0.796,102,225,10,1,6,2,15,46/5H39,,-9999
2018,25,CHC,NL,160,645,606,101,176,40,9,34,111,21,9,29,167,0.29,0.326,0.554,0.881,129,336,10,5,1,4,8,465/H3,ASMVP-2SS,-9999
2019,26,CHC,NL,138,561,531,89,149,38,4,29,85,11,7,28,156,0.281,0.316,0.531,0.847,115,282,16,0,0,2,3,*6/HD5,AS,-9999
2020,27,CHC,NL,59,235,222,27,45,9,1,8,24,3,0,7,75,0.203,0.238,0.36,0.599,59,80,8,4,0,2,0,*6/D7H,GG,-9999
2021,28,TOT,NL,138,547,502,80,133,18,2,31,87,18,5,28,184,0.265,0.319,0.494,0.813,117,248,12,13,0,3,2,64/H,,-9999
2021,28,CHC,NL,91,361,335,48,83,9,2,22,65,13,3,15,131,0.248,0.292,0.484,0.775,105,162,7,7,0,3,1,6/H,,-9999
2021,28,NYM,NL,47,186,167,32,50,9,0,9,22,5,2,13,53,0.299,0.371,0.515,0.886,140,86,5,6,0,0,1,46/H,,-9999
2022,29,DET,AL,144,590,555,64,132,27,4,17,67,9,2,26,147,0.238,0.278,0.393,0.671,91,218,13,6,0,3,1,*6D/H,,-9999
2023,30,DET,AL,136,547,510,58,113,18,4,9,59,12,0,24,125,0.222,0.267,0.325,0.593,63,166,12,9,0,3,0,*6/DH,,-9999
2024,31,DET,AL,80,289,272,25,50,12,0,6,37,8,1,12,69,0.184,0.221,0.294,0.516,44,80,10,2,0,3,1,6/H,,-9999
